area,perimeter,aspect_ratio,extent,convex_hull_area,hull_perimeter,solidity,circularity,eccentricity,num_convexity_defects,max_defect_depth,major_axis_length,minor_axis_length,orientation,hu_moment,centroid_x,centroid_y,Label
3577.5,2448.2652745246887,1.2074468085106382,0.020957329646639797,115917.5,1333.6558020114899,0.03086246684064097,0.007500195105770296,0.7930758408340631,29.0,450.0,482.6284484863281,293.98004150390625,113.09741973876953,-0.9707898602314908,361.0,518.0,r
3477.0,2441.027686357498,1.4683544303797469,0.023713716717590573,117373.5,1319.325352549553,0.029623381768457104,0.007332788253527707,0.7794586477473904,26.0,460.0,475.2329406738281,297.71142578125,95.92129516601562,-0.981204018698804,346.0,468.0,r
3629.5,2503.4469504356384,1.4126506024096386,0.02330965653659414,127532.5,1367.974809885025,0.028459412306666928,0.007277460870929,0.7837441892890025,29.0,465.0,496.92730712890625,308.63348388671875,81.76432037353516,-0.9958518729743251,334.0,428.0,r
4158.5,2683.8775309324265,0.9734693877551021,0.017791896632866983,130918.5,1432.192723274231,0.031764036404327886,0.007254728780105984,0.8767138685794518,29.0,505.0078125,583.4243774414062,280.63427734375,141.14126586914062,-0.956790568309869,338.0,534.0,r
4119.5,2639.0449291467667,0.6860706860706861,0.025952875952875952,130433.5,1384.1054923534393,0.031583143900915024,0.007432943012276688,0.7869265304727385,32.0,477.0,494.92431640625,305.39141845703125,1.5551974773406982,-0.9412114048427239,311.0,540.0,r
4722.0,3004.3455650806427,0.9420849420849421,0.018679979745553518,154845.5,1582.537409543991,0.03049491267101724,0.006574096545541773,0.872666521613179,27.0,514.0,620.8646240234375,303.17852783203125,147.89251708984375,-0.9834964127264544,333.0,535.0,r
4358.5,2912.47045814991,0.9940476190476191,0.01726111269524443,143361.5,1527.3538649082184,0.030402165155917035,0.006456896968814903,0.8890541455018665,23.0,514.671875,617.198974609375,282.5549621582031,129.26695251464844,-0.987787529033713,325.0,524.0,r
4456.5,2853.897745013237,0.6571428571428571,0.02460455486542443,148069.0,1490.0327887535095,0.030097454565101406,0.006875858937044578,0.7918083558885828,26.0,521.0,530.8404541015625,324.2212219238281,6.128223419189453,-0.9619958396345021,305.0,513.0,r
3822.0,2610.4389296770096,1.0790067720090293,0.018049245822983274,132949.0,1442.8679059743881,0.028747865722946395,0.0070481229547219425,0.8298412991830519,29.0,474.0,548.8272705078125,306.2453308105469,59.155242919921875,-1.0094243192126273,258.0,538.0,r
4302.0,2749.2429707050323,0.9602510460251046,0.0196078431372549,143481.0,1526.9391803741455,0.02998306395968804,0.007152436708312264,0.8601560014548074,33.0,474.0,600.1913452148438,306.1162109375,30.299999237060547,-0.9957967099479113,275.0,553.0,r
3655.5,2497.5789811611176,1.2393617021276595,0.02086282074696375,118311.5,1351.0304139852524,0.030897250055996247,0.007364074789837891,0.8308869531403931,33.0,462.0,516.4017333984375,287.34722900390625,66.22489929199219,-0.9728720267517326,255.0,507.0,r
3320.5,2325.7657086849213,1.3876221498371335,0.025389579605756142,110054.0,1270.9408802986145,0.030171552147127773,0.007714031761725836,0.7661215603570026,33.0,422.0,456.0582275390625,293.1066589355469,100.14019775390625,-0.9736427065767018,251.0,460.0,r
3916.5,2665.568876028061,1.1004784688995215,0.02036873309756605,122552.0,1410.7514336109161,0.03195786278477707,0.006926728690166541,0.8637919187686371,25.0,456.0,543.4427490234375,273.81292724609375,60.33574676513672,-0.9590354494904919,267.0,461.0,r
4428.0,2844.6012798547745,0.6182495344506518,0.024836777276704584,149042.0,1510.4707505702972,0.02970974624602461,0.00687661442650753,0.8362650324775864,24.0,533.0,563.7234497070312,309.1039123535156,1.2175590991973877,-0.9758193436404683,262.0,511.0,r
4804.0,3082.9729813337326,0.9768339768339769,0.018328322676148763,166435.0,1623.67173910141,0.028864121128368433,0.006351457924568267,0.8323224494676555,27.0,514.0,601.8419189453125,333.59600830078125,143.01937866210938,-1.0107824689672418,306.0,525.0,r
4283.5,2711.1424671411514,0.8571428571428571,0.01967362948265726,129911.5,1446.922738313675,0.03297244662712693,0.007323251608122152,0.8762106825164422,22.0,508.30859375,574.379150390625,276.8095397949219,28.200284957885742,-0.9475031098641721,237.0,537.0,r
3864.5,2651.2257311344147,1.113953488372093,0.018762441132203718,126444.0,1436.8955345153809,0.030562936952326723,0.006908913629797877,0.8816842576022923,27.0,475.0,574.5841064453125,271.1116943359375,121.17595672607422,-0.9907033016598974,349.0,466.0,r
3653.5,2555.6378564834595,1.3453038674033149,0.020723904386989914,124478.5,1390.771279335022,0.029350450077724265,0.007029433881607364,0.8347275845049638,24.0,483.0,536.1650390625,295.2463073730469,107.04695129394531,-0.9888335025188107,336.0,425.0,r
4295.5,2803.9262998104095,0.9806201550387597,0.01645180316818335,136749.5,1495.3426861763,0.03141144940200878,0.006865788154702393,0.9061847068280233,30.0,548.59765625,635.789306640625,268.8639221191406,135.23553466796875,-0.9737339621582276,329.0,513.0,r
3431.0,2421.973861694336,1.5870307167235496,0.025182575507358067,110015.0,1299.9706820249557,0.03118665636504113,0.007350073438207645,0.8268469872318153,30.0,461.0,489.6368408203125,275.38494873046875,97.86113739013672,-0.9655657830128417,345.0,434.0,r
3409.5,2373.623577237129,1.491638795986622,0.025567287070504072,111287.0,1293.9212548732758,0.030637001626425367,0.007604608566428319,0.8313116224412345,28.0,442.0,491.10858154296875,272.9613952636719,81.56009674072266,-0.9690779041634483,349.0,433.0,r
