area,perimeter,aspect_ratio,extent,convex_hull_area,hull_perimeter,solidity,circularity,eccentricity,num_convexity_defects,max_defect_depth,major_axis_length,minor_axis_length,orientation,hu_moment,Label
60724.0,1621.6467490196228,1.3333333333333333,0.7906770833333333,76241.0,1116.0,0.7964743379546438,0.2901734839591042,0.4479149581561212,1.0,235.0,241.3125,215.7517547607422,133.2784881591797,0.6210174299663053,r
60445.5,1646.516806602478,1.3333333333333333,0.78705078125,76241.0,1116.0,0.7928214477774426,0.2801828201087402,0.6345966067818504,1.0,240.0,233.3843231201172,180.36956787109375,91.9045639038086,0.6068843825384613,r
59216.0,1648.617312669754,1.3333333333333333,0.7710416666666666,76241.0,1116.0,0.7766949541585236,0.273784728190533,0.6348060294362642,1.0,243.0,235.51962280273438,181.97930908203125,82.84483337402344,0.5880307695552176,r
57783.0,1567.4701240062714,1.3333333333333333,0.7523828125,75251.0,1098.0,0.767870194416021,0.29553669081802875,0.6555389273996907,1.0,155.46484375,238.08270263671875,179.79086303710938,103.45245361328125,0.5980218256080496,r
58772.5,1471.5462433099747,1.3333333333333333,0.7652669270833333,76241.0,1116.0,0.770877874109731,0.3410642503796367,0.3374014389392456,1.0,140.0,220.3566436767578,207.43511962890625,75.90494537353516,0.5804921141836893,r
56715.5,1616.1980463266373,1.3333333333333333,0.7384830729166667,76241.0,1116.0,0.7438976403772248,0.27284906775485507,0.6120119506314736,1.0,151.0,235.1546173095703,185.9716796875,96.84200286865234,0.5656861032906656,r
57040.0,1660.156415939331,1.3333333333333333,0.7427083333333333,75443.0,1094.5059051513672,0.7560674946648464,0.26007066284876595,0.44144784890479694,1.0,255.7890625,233.94654846191406,209.91717529296875,105.26638793945312,0.5924234349371497,r
56661.0,1548.416301727295,1.3333333333333333,0.7377734375,76241.0,1116.0,0.743182801904487,0.29697413717642795,0.6387022096095872,1.0,153.0,233.75184631347656,179.86129760742188,87.64219665527344,0.5515887498626746,r
63477.5,1735.5117542743683,1.3333333333333333,0.8265299479166667,76241.0,1116.0,0.8325900762057161,0.26483449960230415,0.5623371172116264,1.0,246.0,225.7224884033203,186.65174865722656,65.84098052978516,0.6265464232548958,r
60910.0,1742.2396757602692,1.3333333333333333,0.7930989583333333,76241.0,1116.0,0.7989139701735287,0.25216375573107264,0.6243762564281399,1.0,138.0,236.97531127929688,185.10704040527344,75.53912353515625,0.6046837170796341,r
64672.0,1707.5289990901947,1.3333333333333333,0.8420833333333333,76241.0,1116.0,0.8482574992458126,0.2787340208509794,0.5237566022575099,1.0,240.0,246.00706481933594,209.56553649902344,18.742673873901367,0.6364940930609504,r
65369.5,1802.4579309225082,1.3333333333333333,0.8511653645833334,76241.0,1116.0,0.8574061200666309,0.25284522296246514,0.7221768079016042,1.0,220.0,254.9212646484375,176.33120727539062,106.83879852294922,0.6433544805516755,r
61868.5,1775.2863578796387,1.3333333333333333,0.8055794270833333,76241.0,1116.0,0.811485945882137,0.24668492997745867,0.38812318256547085,1.0,237.0,232.5671844482422,214.33566284179688,129.96209716796875,0.6127106524789798,r
56470.5,1535.4873694181442,1.3333333333333333,0.73529296875,76241.0,1116.0,0.740684146325468,0.30098094423917343,0.6979809088513158,1.0,157.0,242.78665161132812,173.86349487304688,87.90936279296875,0.5543921807404394,r
54052.0,1646.03866481781,1.3333333333333333,0.7038020833333334,76241.0,1116.0,0.7089623693288388,0.25069263045223605,0.7454701816459266,1.0,151.0,250.35104370117188,166.8687286376953,101.10785675048828,0.537178596593432,r
61134.5,2055.7026584148407,1.3333333333333333,0.7960221354166667,76070.5,1106.8937683105469,0.8036558192729113,0.1817923625035798,0.760930082040259,1.0,181.796875,246.7813262939453,160.12008666992188,88.76580810546875,0.6294315641406727,r
59661.0,1657.730010509491,1.3333333333333333,0.7768359375,76241.0,1116.0,0.7825317086606943,0.27281785687716176,0.40705406920026377,1.0,248.0,235.7625274658203,215.34645080566406,123.10395050048828,0.6015150241834739,r
59611.5,1642.0904005765915,1.3333333333333333,0.77619140625,76241.0,1116.0,0.781882451699217,0.2778086663209753,0.585395006041996,1.0,252.0,247.01454162597656,200.2666015625,98.35513305664062,0.5955847451595558,r
57522.5,1651.1686087846756,1.3333333333333333,0.7489908854166667,74970.0,1087.3303451538086,0.7672735760971056,0.26513360072890835,0.6541823208350872,1.0,213.80078125,237.0390625,179.28138732910156,95.82801818847656,0.5952192464696366,r
61465.5,1623.1198378801346,1.3333333333333333,0.80033203125,76241.0,1116.0,0.806200076074553,0.29318389573205816,0.44946549345465203,1.0,241.0,234.3895263671875,209.37962341308594,89.49180603027344,0.6152229789722562,r
61303.0,1611.7056239843369,1.3333333333333333,0.7982161458333333,76241.0,1116.0,0.8040686769585919,0.296565173678106,0.23449663768750037,1.0,231.0,230.44200134277344,224.01657104492188,98.5086441040039,0.6137415927057677,r
58477.0,1686.55843603611,1.3333333333333333,0.7614192708333334,76241.0,1116.0,0.7670020067942446,0.25834030129508384,0.5281366356601932,1.0,254.0,237.08335876464844,201.32156372070312,104.30992889404297,0.5827800097544897,r
58089.0,1639.3279888629913,1.3333333333333333,0.7563671875,76241.0,1116.0,0.7619128815204418,0.2716264492965925,0.6273467632625189,1.0,229.0,235.82659912109375,183.64761352539062,101.92854309082031,0.5931622410023152,r
57082.5,1524.5411907434464,1.3333333333333333,0.74326171875,74718.5,1087.7763290405273,0.7639674243995798,0.30862743092663913,0.6688034450504496,1.0,177.76171875,240.31846618652344,178.6621856689453,103.0016860961914,0.5962515566965029,r
